magnitude,latitude,longitude,depth,Referencia de localizacion,date_utc,time_utc
4.2,14.7312,-93.1143,59.1,"82 km al SUROESTE de MAPASTEPEC, CHIS",2018-01-04,3:06:27
4,15.8132,-94.479,38.2,"78 km al SUROESTE de ARRIAGA , CHIS",2018-01-04,3:31:41
4,15.2432,-93.0448,94.4,"27 km al SUROESTE de MAPASTEPEC, CHIS",2018-01-04,5:45:44
4,24.928,-106.815,10,"59 km al ESTE de CULIACAN, SIN",2018-01-04,9:31:53
4.1,15.7787,-95.1587,28.1,"45 km al SUR de SALINA CRUZ, OAX",2018-01-04,10:39:59
4,15.8487,-95.5987,49,"57 km al SUROESTE de SALINA CRUZ, OAX",2018-01-04,11:02:21
4.1,16.1525,-95.2455,9.8,"6 km al SUROESTE de SALINA CRUZ, OAX",2018-01-04,12:30:48
4.5,15.3652,-94.8035,24.8,"100 km al SURESTE de SALINA CRUZ, OAX",2018-01-04,16:09:47
4,15.442,-94.7607,18.5,"94 km al SURESTE de SALINA CRUZ, OAX",2018-01-04,16:50:54
4.1,16.4737,-95.0388,93.7,"5 km al NOROESTE de JUCHITAN DE ZARAGOZA, OAX",2018-01-04,19:00:11
4.1,15.3005,-94.66,16.6,"113 km al SURESTE de SALINA CRUZ, OAX",2018-01-04,22:40:26
4,17.3482,-92.9845,10,"22 km al SUR de TEAPA, TAB",2018-01-04,22:54:25
4.3,15.4538,-94.8022,17.2,"91 km al SURESTE de SALINA CRUZ, OAX",2018-01-05,0:47:58
4.1,16.508,-94.9817,8.3,"9 km al NORESTE de JUCHITAN DE ZARAGOZA, OAX",2018-01-05,0:56:59
4.4,16.1745,-98.7892,29.1,"70 km al SUROESTE de OMETEPEC, GRO",2018-01-05,1:33:36
4,15.2043,-94.658,16.1,"123 km al SURESTE de SALINA CRUZ, OAX",2018-01-05,5:03:58
4,14.8685,-93.6053,14.1,"99 km al SUROESTE de MAPASTEPEC, CHIS",2018-01-05,12:06:51
4.2,16.2698,-98.1185,11.1,"11 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-01-05,13:51:20
4.2,16.0345,-98.8797,10.6,"88 km al SUROESTE de OMETEPEC, GRO",2018-01-05,15:44:55
4.1,17.7613,-100.809,55.8,"55 km al NORESTE de PETATLAN, GRO",2018-01-05,16:26:14
4.2,15.3912,-94.7858,16,"98 km al SURESTE de SALINA CRUZ, OAX",2018-01-05,18:48:04
4.2,15.3078,-94.7345,25,"109 km al SURESTE de SALINA CRUZ, OAX",2018-01-05,19:36:15
4.2,15.0132,-94.3858,16.8,"137 km al SUROESTE de TONALA, CHIS",2018-01-05,20:44:44
4,15.414,-94.6547,18.2,"103 km al SURESTE de SALINA CRUZ, OAX",2018-01-05,22:22:44
4.1,15.5953,-95.0405,18,"67 km al SUR de SALINA CRUZ, OAX",2018-01-05,22:31:41
4.1,15.3473,-94.0838,34.9,"89 km al SUROESTE de TONALA, CHIS",2018-01-05,22:41:12
4.4,16.0937,-93.7907,104.7,"4 km al OESTE de TONALA, CHIS",2018-01-06,8:22:02
4,17.1853,-94.555,136.2,"62 km al NORESTE de MATIAS ROMERO, OAX",2018-01-06,10:11:45
4.1,16.9427,-101.716,16.1,"80 km al SUR de ZIHUATANEJO, GRO",2018-01-06,16:36:30
4.2,14.9475,-94.4075,18.3,"144 km al SUROESTE de TONALA, CHIS",2018-01-07,2:28:20
4.2,16.9573,-94.0365,159.9,"44 km al NOROESTE de CINTALAPA, CHIS",2018-01-07,3:24:06
4,15.092,-93.8217,16.9,"93 km al SUROESTE de PIJIJIAPAN, CHIS",2018-01-07,3:42:11
4,16.4547,-95.207,70.5,"14 km al NORTE de S BLAS ATEMPA, OAX",2018-01-07,5:37:36
4.1,16.108,-95.2478,10,"10 km al SUROESTE de SALINA CRUZ, OAX",2018-01-07,9:33:06
4,15.0327,-94.2917,11.9,"130 km al SUROESTE de TONALA, CHIS",2018-01-07,10:43:15
4.2,16.1067,-95.2963,17.9,"14 km al SUROESTE de SALINA CRUZ, OAX",2018-01-07,15:12:07
4,16.5218,-95.1833,11,"10 km al SUROESTE de CD IXTEPEC, OAX",2018-01-07,17:59:53
4.1,15.0803,-94.1647,16.1,"120 km al SUROESTE de TONALA, CHIS",2018-01-07,19:04:09
4.1,17.2042,-94.7415,137.4,"49 km al NORESTE de MATIAS ROMERO, OAX",2018-01-07,20:12:50
4.2,15.1022,-94.489,16,"134 km al SUROESTE de TONALA, CHIS",2018-01-07,20:22:44
4.1,15.4522,-94.748,16.4,"94 km al SURESTE de SALINA CRUZ, OAX",2018-01-07,20:58:03
4,16.2958,-95.5525,40,"34 km al OESTE de TEHUANTEPEC, OAX",2018-01-07,22:10:26
4,16.2763,-95.6127,56.5,"40 km al OESTE de TEHUANTEPEC, OAX",2018-01-07,22:23:03
4.2,17.936,-101.626,41.7,"33 km al NORTE de ZIHUATANEJO, GRO",2018-01-07,23:25:03
4,14.1322,-92.1925,10,"61 km al SUR de CD HIDALGO, CHIS",2018-01-08,2:43:52
4.3,16.3277,-95.6272,30.2,"41 km al OESTE de TEHUANTEPEC, OAX",2018-01-08,5:02:20
4.1,14.892,-93.9482,8.8,"118 km al SUROESTE de PIJIJIAPAN, CHIS",2018-01-08,6:12:16
4.2,17.4253,-94.7383,137.7,"56 km al SURESTE de SAYULA DE ALEMAN, VER",2018-01-08,8:31:10
4.1,15.0928,-94.4977,16.1,"136 km al SUROESTE de TONALA, CHIS",2018-01-08,12:06:24
4.3,15.1658,-94.6632,18.6,"126 km al SURESTE de SALINA CRUZ, OAX",2018-01-08,12:44:47
4.1,15.1942,-94.1943,53.9,"109 km al SUROESTE de TONALA, CHIS",2018-01-08,14:54:24
4,15.7042,-95.2358,20,"53 km al SUR de SALINA CRUZ, OAX",2018-01-08,16:36:42
4.7,16.5777,-99.2602,5,"28 km al SURESTE de SAN MARCOS, GRO",2018-01-08,17:01:03
4.1,14.7238,-92.9222,59.5,"67 km al SUROESTE de HUIXTLA, CHIS",2018-01-08,19:21:08
4,15.2658,-95.7133,10,"72 km al SURESTE de CRUCECITA, OAX",2018-01-08,21:18:21
4.1,15.3515,-94.7968,16.4,"101 km al SURESTE de SALINA CRUZ, OAX",2018-01-09,3:06:11
4.2,15.5058,-94.8862,17.6,"82 km al SURESTE de SALINA CRUZ, OAX",2018-01-09,3:24:10
4,16.8447,-98.8148,41,"47 km al NOROESTE de OMETEPEC, GRO",2018-01-09,3:50:17
4,15.272,-93.375,78.7,"49 km al SUROESTE de PIJIJIAPAN, CHIS",2018-01-09,4:23:13
4.6,15.0152,-94.2252,39.1,"129 km al SUROESTE de TONALA, CHIS",2018-01-09,7:27:28
4,15.2758,-93.2552,82.4,"43 km al SUROESTE de MAPASTEPEC, CHIS",2018-01-09,10:48:46
4,16.151,-95.3947,72.9,"22 km al OESTE de SALINA CRUZ, OAX",2018-01-09,12:51:05
4,16.0748,-95.3415,54.1,"20 km al SUROESTE de SALINA CRUZ, OAX",2018-01-09,12:53:39
4,15.9885,-95.2658,15,"23 km al SUROESTE de SALINA CRUZ, OAX",2018-01-09,14:08:16
4.3,16.2015,-95.4588,74.4,"27 km al SUROESTE de TEHUANTEPEC, OAX",2018-01-09,14:22:25
4.1,16.1008,-95.387,10,"22 km al SUROESTE de SALINA CRUZ, OAX",2018-01-09,14:30:24
4.4,15.8597,-95.1335,50,"36 km al SUR de SALINA CRUZ, OAX",2018-01-09,16:49:10
4.1,15.7202,-95.8947,20,"26 km al ESTE de CRUCECITA, OAX",2018-01-09,18:06:02
4,16.3973,-95.7197,63,"52 km al OESTE de TEHUANTEPEC, OAX",2018-01-09,20:26:02
4.2,16.1327,-95.2993,10.4,"12 km al SUROESTE de SALINA CRUZ, OAX",2018-01-09,21:02:47
4.1,16.39,-98.3237,24,"29 km al OESTE de PINOTEPA NACIONAL, OAX",2018-01-09,22:53:38
4,14.982,-93.3927,31.1,"74 km al SUROESTE de MAPASTEPEC, CHIS",2018-01-09,23:07:23
4.1,15.1972,-93.724,51.2,"77 km al SUROESTE de PIJIJIAPAN, CHIS",2018-01-10,0:57:51
4,16.0375,-95.165,50.5,"16 km al SUR de SALINA CRUZ, OAX",2018-01-10,11:41:45
4.1,15.7803,-94.926,14.7,"53 km al SURESTE de SALINA CRUZ, OAX",2018-01-10,12:25:39
4,14.8783,-94.1482,17.1,"135 km al SUROESTE de PIJIJIAPAN, CHIS",2018-01-10,15:36:04
4,14.8645,-94.2097,15,"141 km al SUROESTE de PIJIJIAPAN, CHIS",2018-01-10,16:54:30
4,15.5797,-94.9755,26.5,"71 km al SURESTE de SALINA CRUZ, OAX",2018-01-10,16:57:21
4,15.5702,-94.783,16.7,"81 km al SURESTE de SALINA CRUZ, OAX",2018-01-10,23:08:13
4.2,17.0805,-101.448,28.9,"54 km al SUROESTE de PETATLAN, GRO",2018-01-10,23:40:13
4.5,17.0892,-101.526,14.8,"56 km al SUROESTE de PETATLAN, GRO",2018-01-10,23:44:57
4.1,16.7563,-99.1302,28,"28 km al ESTE de SAN MARCOS, GRO",2018-01-11,0:21:17
4.3,15.0613,-94.3362,16.3,"129 km al SUROESTE de TONALA, CHIS",2018-01-11,0:49:41
4.2,15.0587,-93.8327,29.6,"96 km al SUROESTE de PIJIJIAPAN, CHIS",2018-01-11,1:14:28
4,16.1717,-95.4572,30.7,"28 km al OESTE de SALINA CRUZ, OAX",2018-01-11,1:35:09
4,15.0237,-94.4282,22,"138 km al SUROESTE de TONALA, CHIS",2018-01-11,5:08:19
4,14.964,-93.222,59.9,"64 km al SUROESTE de MAPASTEPEC, CHIS",2018-01-11,6:48:32
4,15.041,-94.3997,17.5,"135 km al SUROESTE de TONALA, CHIS",2018-01-11,9:53:15
4.1,15.5202,-92.0555,215.8,"18 km al SURESTE de FRONTERA COMALAPA, CHIS",2018-01-11,10:33:32
4.2,15.0107,-94.2177,19.6,"129 km al SUROESTE de TONALA, CHIS",2018-01-11,12:22:00
4,15.1802,-94.3555,16.3,"119 km al SUROESTE de TONALA, CHIS",2018-01-11,15:40:07
4.1,17.5227,-99.0377,56,"17 km al SURESTE de CHILAPA DE ALVAREZ, GRO",2018-01-11,19:04:50
4,16.2385,-95.6162,10,"41 km al OESTE de TEHUANTEPEC, OAX",2018-01-11,19:58:07
4,15.7493,-94.7985,35.2,"64 km al SURESTE de SALINA CRUZ, OAX",2018-01-11,22:10:03
4.4,15.007,-94.3012,17,"133 km al SUROESTE de TONALA, CHIS",2018-01-12,6:45:34
4.2,15.0975,-94.4362,34.2,"131 km al SUROESTE de TONALA, CHIS",2018-01-12,11:06:42
4.1,15.134,-94.5475,34.9,"135 km al SURESTE de SALINA CRUZ, OAX",2018-01-12,19:07:08
4.1,15.1765,-94.6455,16.1,"126 km al SURESTE de SALINA CRUZ, OAX",2018-01-12,20:50:36
4,16.733,-94.5842,115.9,"39 km al NORESTE de UNION HIDALGO, OAX",2018-01-13,6:36:57
4.3,16.0712,-95.3362,60,"19 km al SUROESTE de SALINA CRUZ, OAX",2018-01-13,8:05:57
4.1,16.0712,-95.3028,58,"17 km al SUROESTE de SALINA CRUZ, OAX",2018-01-13,11:58:43
4,15.8953,-95.0903,16.2,"34 km al SURESTE de SALINA CRUZ, OAX",2018-01-13,15:58:09
4.4,17.2073,-100.916,5,"30 km al OESTE de TECPAN, GRO",2018-01-13,20:08:45
4,15.6385,-94.251,58.7,"73 km al SUROESTE de TONALA, CHIS",2018-01-14,3:09:14
4,16.1817,-95.5628,52.2,"38 km al SUROESTE de TEHUANTEPEC, OAX",2018-01-14,4:47:52
4.2,15.205,-94.4368,16.1,"122 km al SUROESTE de TONALA, CHIS",2018-01-14,7:25:44
4.1,15.5585,-95.02,22.9,"72 km al SURESTE de SALINA CRUZ, OAX",2018-01-14,7:44:33
4.3,15.4448,-94.8032,19.3,"92 km al SURESTE de SALINA CRUZ, OAX",2018-01-14,11:05:47
4.1,15.2995,-94.6032,17.6,"116 km al SURESTE de SALINA CRUZ, OAX",2018-01-14,12:39:48
4.1,16.0717,-95.2515,16.7,"14 km al SUROESTE de SALINA CRUZ, OAX",2018-01-14,17:45:37
4.3,15.1637,-93.5393,44.9,"68 km al SUROESTE de PIJIJIAPAN, CHIS",2018-01-14,21:23:08
4.2,16.5988,-101.062,10,"83 km al SUROESTE de TECPAN, GRO",2018-01-14,23:42:10
4,15.0552,-94.4292,15,"135 km al SUROESTE de TONALA, CHIS",2018-01-15,2:08:45
4,16.985,-94.8647,119,"23 km al NORESTE de MATIAS ROMERO, OAX",2018-01-15,4:45:58
4,15.6835,-94.0195,85.6,"53 km al SUROESTE de TONALA, CHIS",2018-01-15,5:27:44
4,15.892,-93.8272,82,"23 km al SUROESTE de TONALA, CHIS",2018-01-15,10:46:12
4,15.4863,-94.071,44.8,"74 km al SUROESTE de TONALA, CHIS",2018-01-15,11:30:42
4.2,15.5307,-94.9632,21.6,"76 km al SURESTE de SALINA CRUZ, OAX",2018-01-15,13:07:18
4.2,14.6207,-92.6568,66,"53 km al SUROESTE de TAPACHULA, CHIS",2018-01-15,14:36:04
4,15.4433,-94.6513,16.1,"100 km al SURESTE de SALINA CRUZ, OAX",2018-01-15,15:04:25
4.1,15.5513,-94.6797,16.1,"89 km al SURESTE de SALINA CRUZ, OAX",2018-01-15,16:38:25
4.2,14.9153,-93.846,7.1,"109 km al SUROESTE de PIJIJIAPAN, CHIS",2018-01-15,19:03:07
4,15.7093,-94.8155,16.2,"66 km al SURESTE de SALINA CRUZ, OAX",2018-01-15,20:15:37
4,15.4078,-94.7755,27.1,"97 km al SURESTE de SALINA CRUZ, OAX",2018-01-16,1:41:54
4.1,15.4293,-94.6992,38,"99 km al SURESTE de SALINA CRUZ, OAX",2018-01-16,4:11:36
4.1,16.819,-94.2788,131,"61 km al OESTE de CINTALAPA, CHIS",2018-01-16,8:39:14
4.3,15.121,-94.4522,16.3,"130 km al SUROESTE de TONALA, CHIS",2018-01-16,11:23:01
4.2,15.1087,-94.5088,16.1,"135 km al SUROESTE de TONALA, CHIS",2018-01-16,17:03:34
4,15.3903,-94.9463,20,"92 km al SURESTE de SALINA CRUZ, OAX",2018-01-17,1:58:34
4,15.0847,-94.3712,16.1,"129 km al SUROESTE de TONALA, CHIS",2018-01-17,6:03:16
4.3,15.6615,-95.0258,17.8,"60 km al SURESTE de SALINA CRUZ, OAX",2018-01-17,16:14:16
4,15.6222,-95.3043,15,"63 km al SUR de SALINA CRUZ, OAX",2018-01-17,16:38:52
4.4,15.2518,-94.675,18.2,"117 km al SURESTE de SALINA CRUZ, OAX",2018-01-17,23:02:18
4.3,17.1392,-100.124,46.9,"15 km al NORTE de COYUCA DE BENITEZ, GRO",2018-01-17,23:24:59
4.1,15.176,-94.4505,16.1,"125 km al SUROESTE de TONALA, CHIS",2018-01-18,0:22:33
4.1,15.295,-93.232,86.6,"40 km al SUROESTE de MAPASTEPEC, CHIS",2018-01-18,6:00:25
4.7,17.0253,-94.8175,113,"29 km al NORESTE de MATIAS ROMERO, OAX",2018-01-18,8:43:57
4,14.294,-92.4503,100,"53 km al SUROESTE de CD HIDALGO, CHIS",2018-01-18,10:05:22
4,16.2618,-97.9203,5.5,"17 km al SURESTE de PINOTEPA NACIONAL, OAX",2018-01-18,12:44:07
4.6,14.3733,-93.4547,21,"133 km al SUROESTE de MAPASTEPEC, CHIS",2018-01-18,14:58:40
4.3,15.8377,-95.099,22.9,"40 km al SURESTE de SALINA CRUZ, OAX",2018-01-18,15:21:18
4.1,15.4908,-94.7568,18,"90 km al SURESTE de SALINA CRUZ, OAX",2018-01-18,16:07:38
4,15.798,-95.2843,37.8,"44 km al SUR de SALINA CRUZ, OAX",2018-01-18,19:04:12
4.1,15.9338,-95.2628,67.6,"28 km al SUR de SALINA CRUZ, OAX",2018-01-18,19:40:21
4.1,16.1197,-95.325,10.4,"15 km al SUROESTE de SALINA CRUZ, OAX",2018-01-18,20:09:49
4.3,15.5732,-94.7218,16.1,"84 km al SURESTE de SALINA CRUZ, OAX",2018-01-18,20:17:56
4,16.4253,-95.1468,60.7,"14 km al OESTE de JUCHITAN DE ZARAGOZA, OAX",2018-01-19,5:21:24
4,15.6982,-93.7568,89.2,"43 km al SUR de TONALA, CHIS",2018-01-19,5:30:32
4.1,15.212,-94.6758,25,"121 km al SURESTE de SALINA CRUZ, OAX",2018-01-19,6:09:36
4,16.4475,-95.0922,65.7,"8 km al OESTE de JUCHITAN DE ZARAGOZA, OAX",2018-01-19,6:42:26
4,15.448,-94.6318,16.7,"101 km al SURESTE de SALINA CRUZ, OAX",2018-01-19,8:52:27
6.3,26.6672,-111.079,16.1,"77 km al NORESTE de LORETO, BCS",2018-01-19,16:17:45
4.2,26.6215,-111.04,16.1,"74 km al NORESTE de LORETO, BCS",2018-01-19,16:28:33
4.1,26.564,-110.883,16.7,"76 km al NORESTE de LORETO, BCS",2018-01-19,16:40:11
4.7,26.6807,-110.879,11.8,"87 km al NORESTE de LORETO, BCS",2018-01-19,16:48:31
4.1,26.677,-110.926,10,"85 km al NORESTE de LORETO, BCS",2018-01-19,17:05:28
4,15.4263,-94.817,22.5,"93 km al SURESTE de SALINA CRUZ, OAX",2018-01-19,17:23:34
4.2,17.3918,-94.7097,144.7,"60 km al SURESTE de SAYULA DE ALEMAN, VER",2018-01-19,19:12:38
4,14.4397,-92.9445,135.1,"89 km al SUROESTE de CD HIDALGO, CHIS",2018-01-19,19:39:56
4.3,26.6388,-110.891,7.3,"83 km al NORESTE de LORETO, BCS",2018-01-20,2:56:26
4,15.3235,-94.7785,16.3,"105 km al SURESTE de SALINA CRUZ, OAX",2018-01-20,4:32:32
4.1,26.6422,-110.903,16,"82 km al NORESTE de LORETO, BCS",2018-01-20,4:46:14
4,15.7648,-94.2268,34.7,"62 km al SUROESTE de TONALA, CHIS",2018-01-20,6:10:41
4,15.6087,-95.0612,21,"65 km al SUR de SALINA CRUZ, OAX",2018-01-20,7:41:51
4.4,19.4807,-104.323,29.8,"18 km al SURESTE de CASIMIRO CASTILLO, JAL",2018-01-20,8:40:13
4.1,26.7872,-110.948,10,"94 km al NORESTE de LORETO, BCS",2018-01-20,8:55:09
4.7,26.6225,-111.013,15,"75 km al NORESTE de LORETO, BCS",2018-01-20,13:48:57
4.1,16.8293,-98.7857,30,"44 km al NOROESTE de OMETEPEC, GRO",2018-01-20,17:35:42
4.6,15.3857,-94.741,16.3,"101 km al SURESTE de SALINA CRUZ, OAX",2018-01-20,18:12:28
4.3,15.4442,-94.7208,16,"96 km al SURESTE de SALINA CRUZ, OAX",2018-01-20,21:49:53
4,17.4633,-94.9403,134.1,"46 km al SUR de SAYULA DE ALEMAN, VER",2018-01-21,4:18:55
4.3,15.4742,-94.7907,16.1,"90 km al SURESTE de SALINA CRUZ, OAX",2018-01-21,4:30:33
4.1,15.6095,-95.0088,15,"66 km al SURESTE de SALINA CRUZ, OAX",2018-01-21,7:30:17
4,15.3908,-94.6322,15,"106 km al SURESTE de SALINA CRUZ, OAX",2018-01-21,7:56:45
4.1,15.9205,-95.061,12.1,"32 km al SURESTE de SALINA CRUZ, OAX",2018-01-21,8:06:38
4.6,15.542,-95.0655,16.5,"72 km al SUR de SALINA CRUZ, OAX",2018-01-21,9:00:47
4.3,26.7395,-110.947,10,"90 km al NORESTE de LORETO, BCS",2018-01-21,9:35:30
4,17.7212,-101.55,39.8,"8 km al NORTE de ZIHUATANEJO, GRO",2018-01-21,14:37:28
4.5,30.1653,-114.244,16.5,"111 km al SURESTE de SAN FELIPE, BC",2018-01-21,17:04:13
4.1,16.4663,-95.117,16,"11 km al SUR de CD IXTEPEC, OAX",2018-01-21,20:23:08
4,18.131,-98.7503,46.7,"24 km al SUROESTE de CHIAUTLA DE TAPIA, PUE",2018-01-22,0:30:03
4,16.699,-94.8467,58.6,"25 km al NORTE de UNION HIDALGO, OAX",2018-01-22,1:09:51
4,17.1948,-100.93,5,"32 km al OESTE de TECPAN, GRO",2018-01-22,1:34:36
4,15.0192,-94.3385,16.1,"134 km al SUROESTE de TONALA, CHIS",2018-01-22,3:27:46
4,15.8952,-95.0385,10,"36 km al SURESTE de SALINA CRUZ, OAX",2018-01-22,5:05:30
4,16.3838,-94.2238,26.8,"38 km al NOROESTE de ARRIAGA , CHIS",2018-01-22,5:42:29
4.6,17.335,-96.3792,40,"43 km al NORTE de TLACOLULA, OAX",2018-01-22,6:36:39
4,16.3883,-95.0858,81.4,"9 km al SUROESTE de JUCHITAN DE ZARAGOZA, OAX",2018-01-22,9:11:03
4,15.4292,-94.595,20,"105 km al SURESTE de SALINA CRUZ, OAX",2018-01-22,11:08:24
4,15.586,-96.5482,16.7,"20 km al SUROESTE de S PEDRO POCHUTLA, OAX",2018-01-23,0:07:48
4,16.194,-95.0618,85.5,"14 km al ESTE de SALINA CRUZ, OAX",2018-01-23,1:54:55
4.1,15.3565,-94.6687,16.1,"107 km al SURESTE de SALINA CRUZ, OAX",2018-01-23,6:26:40
4.4,15.4458,-94.8065,22.7,"91 km al SURESTE de SALINA CRUZ, OAX",2018-01-23,7:35:09
4,15.4215,-94.7795,28.9,"95 km al SURESTE de SALINA CRUZ, OAX",2018-01-23,8:45:43
4.1,17.0697,-100.091,41.3,"7 km al NORTE de COYUCA DE BENITEZ, GRO",2018-01-23,9:16:59
4.2,15.138,-94.3443,26.8,"122 km al SUROESTE de TONALA, CHIS",2018-01-23,9:25:02
4,16.696,-94.8597,28.8,"25 km al NORTE de UNION HIDALGO, OAX",2018-01-23,12:49:05
4,15.3442,-94.7388,33.6,"105 km al SURESTE de SALINA CRUZ, OAX",2018-01-23,13:42:26
4.4,15.1218,-94.6653,24,"130 km al SURESTE de SALINA CRUZ, OAX",2018-01-23,20:52:59
4,15.6485,-94.727,16.1,"77 km al SURESTE de SALINA CRUZ, OAX",2018-01-24,2:41:09
4,16.1923,-97.583,13.2,"26 km al NOROESTE de RIO GRANDE, OAX",2018-01-24,3:16:56
4.2,16.9953,-95.3602,109.4,"37 km al NOROESTE de MATIAS ROMERO, OAX",2018-01-24,4:56:35
4,15.384,-94.7143,20,"102 km al SURESTE de SALINA CRUZ, OAX",2018-01-24,5:13:42
4,16.6008,-99.315,5,"23 km al SURESTE de SAN MARCOS, GRO",2018-01-24,5:45:59
4,17.1342,-95.1807,117.8,"33 km al NOROESTE de MATIAS ROMERO, OAX",2018-01-24,12:40:53
4,16.2403,-96.1675,54.9,"46 km al ESTE de MIAHUATLAN, OAX",2018-01-25,6:33:02
4,15.3615,-94.778,16.1,"101 km al SURESTE de SALINA CRUZ, OAX",2018-01-25,9:40:44
4,16.0922,-95.283,26.6,"14 km al SUROESTE de SALINA CRUZ, OAX",2018-01-25,10:38:54
4.6,15.369,-94.6483,28.6,"107 km al SURESTE de SALINA CRUZ, OAX",2018-01-25,11:32:16
4.2,15.6697,-95.0838,16.5,"58 km al SUR de SALINA CRUZ, OAX",2018-01-25,12:29:14
4,17.5452,-100.164,57.9,"47 km al NORESTE de ATOYAC DE ALVAREZ, GRO",2018-01-25,14:58:50
4.3,16.0907,-95.308,74.6,"16 km al SUROESTE de SALINA CRUZ, OAX",2018-01-25,18:19:25
4,16.1175,-98.8128,10.8,"76 km al SUROESTE de OMETEPEC, GRO",2018-01-25,21:56:40
4.2,15.536,-94.852,17.4,"80 km al SURESTE de SALINA CRUZ, OAX",2018-01-26,0:29:29
4.1,16.2478,-95.6237,5.6,"42 km al OESTE de TEHUANTEPEC, OAX",2018-01-26,1:05:20
4.3,15.0793,-94.3213,10,"127 km al SUROESTE de TONALA, CHIS",2018-01-26,1:43:19
4,26.621,-110.972,10,"77 km al NORESTE de LORETO, BCS",2018-01-26,6:12:35
4.2,17.1752,-94.3555,146.5,"80 km al NORESTE de MATIAS ROMERO, OAX",2018-01-26,9:46:39
4,18.055,-103.346,5.9,"82 km al SUR de COALCOMAN, MICH",2018-01-26,11:27:02
4.4,26.7795,-111.053,10,"90 km al NORESTE de LORETO, BCS",2018-01-26,19:54:19
4.1,15.4687,-94.7417,26.6,"93 km al SURESTE de SALINA CRUZ, OAX",2018-01-26,21:22:39
4.2,17.5758,-94.68,149.8,"43 km al SUR de JALTIPAN DE MORELOS, VER",2018-01-26,21:44:29
4,15.6162,-95.1423,16.3,"63 km al SUR de SALINA CRUZ, OAX",2018-01-26,22:59:45
